date,gcode,lvcnt,nsum,nsum10,bomb,bomblag,bombsum10,klaB,klaBlag,klaBsum10,klaK,klaKlag,klaKsum10
6/4/1999,west,0,0,114.4511812,4,5,52,1,1,2,0,1,27
6/6/1999,west,0,0,111.0930502,8,4,52,0,1,3,2,0,26
6/8/1999,west,0,2,104.1184692,5,8,53,0,0,2,0,2,28
6/10/1999,west,0,0,74.7845192,0,5,56,0,0,2,0,0,27
6/12/1999,west,0,0,72.9933682,0,0,54,0,0,2,0,0,27
6/14/1999,west,0,2.820895,69.1273292,0,0,48,0,0,2,1,0,26
6/16/1999,west,0,0.1791044,67.6054152,0,0,46,0,0,2,12,1,25
6/18/1999,west,0,0,62.8825586,0,0,38,0,0,2,15,12,33
6/20/1999,west,0,0,62.8265362,0,0,33,1,0,2,8,15,48
6/22/1999,west,0,0,62.7845194,0,0,27,0,1,3,2,8,55
